model,AIC,BIC,log_likelihood,k
LogNormal,450676.148373769,450693.8973233317,-225336.0741868845,2
LogLogistic,458521.6164331262,458539.3653826889,-229258.8082165631,2
Weibull,463096.6521604464,463114.40111000906,-231546.3260802232,2
Exponential,486548.0919889802,486556.9664637615,-243273.0459944901,1
